Date:TEXT,Reg:TEXT,From:TEXT,To:TEXT,PIC:REAL,Type:TEXT,Landings:INT,Aprcs:INT,Comment:TEXT,Dual:REAL,ActI:REAL,SimI:REAL,Sim:REAL
2020/07/26,N4242G,KPAE,KPAE,1.5,8KCAB,1,0,T&G's at BVS,0,0,0,0
2020/06/18,N4242G,3W7,S10,0.6,8KCAB,1,0,Grand Coulee to Chelan,0,0,0,0
2020/06/18,N824MZ,KBFI,KCOE,1.5,AEST,1,0,,0,0,0,0
2020/05/26,N824MZ,KCOE,KCOE,1.2,AEST,1,2,"IPC with Hans Dyroy, COE VOR06, RNAV06",0,0,0,0
2020/05/26,N824MZ,KBFI,KCOE,1.5,AEST,1,1,"COE RNAV06, BFR with Julie Lionetti",0,0.4,0,0
2020/05/15,N824MZ,KPAE,KBVS,0.7,AEST,1,0,,0,0,0,0
2020/05/15,N4242G,KBFI,KPAE,0.5,8KCAB,1,0,,0,0,0,0
2020/05/15,N4242G,KPAE,KBFI,0.5,8KCAB,1,0,,0,0,0,0
2020/05/06,N4242G,KBFI,KBFI,1,8KCAB,7,0,X-Wind practice at AWO,0,0,0,0
2020/04/19,N4242G,KPAE,KPAE,1,8KCAB,1,0,view Tulips at Skagit,0,0,0,0
2020/04/16,N4242G,KPAE,KPAE,1.1,8KCAB,6,0,refuel at KAWO,0,0,0,0
2020/04/08,N824MZ,KBVS,KBFI,0.5,AEST,1,0,,0,0,0,0
2020/04/08,N824MZ,KBFI,KBVS,1.1,AEST,1,0,"practice apps at BVS, x RNAV 29",0,0,0,0
2020/03/19,N824MZ,KCOE,KBFI,1.3,AEST,1,0,,0,0,0,0
2020/03/19,N824MZ,KBFI,KCOE,1.6,AEST,1,0,practice RNAV at KDEW,0,0,0,0
2020/03/10,N824MZ,KBFI,KBFI,1.5,AEST,1,0,practice RNAV apps at KSHN,0,0,0,0
2020/02/21,N824MZ,KBFI,KBVS,1.3,AEST,1,5,"PAE: ILS-16x3, VOR BVS: RNVA-29 w. A. Maritz",0,0,1.3,0
2020/02/21,N824MZ,KBVS,KBFI,0.6,AEST,1,1,BFI: ILS-14 w. A. Maritz,0,0,0,0
2020/02/20,N824MZ,CYYJ,KBFI,0.7,AEST,1,0,,0,0,0,0
2020/02/19,N824MZ,KBFI,CYYJ,0.7,AEST,1,0,,0,0,0,0
2020/02/18,N824MZ,KBFI,KBFI,1.2,AEST,1,0,kbvs,0,0,0,0
2019/12/22,N824MZ,KBFI,KBFI,1,AEST,1,0,,0,0,0,0
2019/11/28,N824MZ,CYYJ,KBFI,0.7,AEST,1,0,,0,0,0,0
2019/11/27,N824MZ,KBFI,CYYJ,0.7,AEST,1,0,,0,0,0,0
2019/11/13,ZS-PSD,FASI,FASI,0.5,C206,3,0,,0,0,0,0
2019/11/12,N248JP,FVCZ,FAPP,1.4,C208,1,0,IFR enroute,0,0.5,0,0
2019/11/12,N248JP,FAPP,FASI,1,C208,1,0,,0,0,0,0
2019/11/12,N248JP,FVDV,FVCZ,0.6,C208,1,0,,0,0,0,0
2019/11/10,N248JP,FVMH,FVDV,0.6,C208,1,0,,0,0,0,0
2019/11/07,N248JP,FVJN,FVMH,1.6,C208,1,0,,0,0,0,0
2019/11/07,N248JP,FLPL,FLHN,1.5,C208,1,0,,0,0,0,0
2019/11/07,N248JP,FLHN,FVJN,1.4,C208,1,0,,0,0,0,0
2019/11/04,N248JP,FLHN,FLPL,1.4,C208,1,0,Plains Airstrip on Busanga,0,0,0,0
2019/11/04,N248JP,FLHP,FLHN,1.3,C208,1,0,,0,0,0,0
2019/10/31,N248JP,FLHN,FLHP,1.3,C208,1,0,,0,0,0,0
2019/10/30,N248JP,FAPP,FLHN,2.5,C208,1,0,,0,0,0,0
2019/10/30,N248JP,FASI,FAPP,1,C208,1,0,,0,0,0,0
2019/10/28,N248JP,FACT,FATP,3.1,C208,1,0,via FAGG,0,0,0,0
2019/10/28,N248JP,FATP,FASI,1.3,C208,1,0,,0,0,0,0
2019/10/23,N248JP,FAUP,FACT,2.2,C208,1,0,,0,0,0,0
2019/10/23,N248JP,FYSO,FYWH,0.8,C208,1,0,,0,0,0,0
2019/10/23,N248JP,FYWH,FAUP,2.2,C208,1,0,,0,0,0,0
2019/10/19,N248JP,FYWH,FYSO,0.8,C208,1,0,,0,0,0,0
2019/10/19,N248JP,FYSO,FYWH,0.8,C208,1,0,,0,0,0,0
2019/10/18,N248JP,FYWO,FYSO,1.1,C208,1,0,,0,0,0,0
2019/10/17,N248JP,FYWE,FYWO,1,C208,1,0,"Woltemade, Ritter Ranch",0,0,0,0
2019/10/16,N248JP,FBMN,FYWE,2,C208,1,0,,0,0,0,0
2019/10/16,N248JP,FBDV,FBMN,0.5,C208,1,0,,0,0,0,0
2019/10/14,N248JP,FBMN,FBDV,0.5,C208,1,0,Deception Valley,0,0,0,0
2019/10/14,N248JP,FLHN,FBMN,1.3,C208,1,0,,0,0,0,0
2019/10/13,N248JP,FLPL,FLHN,1.2,C208,1,0,,0,0,0,0
2019/10/10,N248JP,FLHP,FLPL,0.4,C208,1,0,"Plains Airstrip, Busanga",0,0,0,0
2019/10/06,N248JP,FLHN,FLHP,1.1,C208,1,0,,0,0,0,0
2019/10/05,N248JP,FAPP,FLHN,2.3,C208,1,0,,0,0,0,0
2019/10/05,N248JP,FASI,FAPP,1,C208,1,0,,0,0,0,0
2019/10/04,N248JP,FASI,FASI,0.7,C208,1,0,With Johan van Zyl,0,0,0,0
2019/09/21,N824MZ,KBFI,KPAE,0.5,AEST,1,0,,0,0,0,0
2019/09/21,N824MZ,CYYJ,KBFI,0.8,AEST,1,1,ILS-14R,0,0,0,0
2019/09/11,N4242G,KPAE,KAPE,1.5,8KCAB,1,0,via BVS,0,0,0,0
2019/08/23,N824MZ,CYYJ,KBFI,0.7,AEST,1,0,,0,0,0,0
2019/08/23,N824MZ,KBFI,CYYJ,0.8,AEST,1,1,ILS-27,0,0,0,0
2019/08/18,N4242G,KPAE,KPAE,1,8KCAB,1,0,AWO,0,0,0,0
2019/08/16,N824MZ,KSTS,KBFI,2.7,AEST,1,1,ILS-14,0,0.3,0,0
2019/08/15,N824MZ,KBFI,KSTS,2.7,AEST,1,0,,0,0,0,0
2019/07/30,N824MZ,KBFI,KBVS,1.5,AEST,1,6,"PAE ILS-16x3, Hold, BVS RNV29x2, RNV11 - A. Maritz",0,0,0,0
2019/07/28,N824MZ,CYYJ,KBFI,0.7,AEST,1,0,,0,0,0,0
2019/07/26,N824MZ,KBFI,CYYJ,0.7,AEST,1,0,,0,0,0,0
2019/07/12,N4242G,KPAE,KPAE,1,8KCAB,6,0,,0,0,0,0
2019/07/05,N4242G,KPAE,KPAE,1,8KCAB,6,0,via kawo,0,0,0,0
2019/06/28,N248JP,FAEL,FASI,2.6,C208,1,0,,0,0,0,0
2019/06/26,N248JP,FAMG,FAEL,1.4,C208,1,0,,0,0,0,0
2019/06/20,N248JP,FVCZ,FAPP,1.7,C208,1,0,,0,0,0,0
2019/06/20,N248JP,FVDV,FVCZ,0.6,C208,1,0,,0,0,0,0
2019/06/20,N248JP,FAPP,FAMG,2.6,C208,1,0,,0,0,0,0
2019/06/18,N248JP,FVMH,FVDV,0.6,C208,1,0,,0,0,0,0
2019/06/14,N248JP,FAPP,FVCZ,1.5,C208,1,0,,0,0,0,0
2019/06/14,N248JP,FVCZ,FVMH,0.5,C208,1,0,,0,0,0,0
2019/06/14,N248JP,FASI,FAPP,1.1,C208,1,0,,0,0,0,0
2019/06/13,N248JP,FAMG,FASI,0.5,C208,1,0,,0,0,0,0
2019/06/13,N248JP,FASI,FAMG,0.5,C208,1,0,,0,0,0,0
2019/06/11,N248JP,FAPP,FASI,1,C208,1,0,,0,0,0,0
2019/06/11,N248JP,FLHP,FLHN,1.3,C208,1,0,,0,0,0,0
2019/06/11,N248JP,FLHN,FAPP,3.1,C208,1,0,,0,0,0,0
2019/06/02,N248JP,FBMN,FLHN,1.1,C208,1,0,,0,0,0,0
2019/06/02,N248JP,FLHN,FLHP,1.3,C208,1,0,,0,0,0,0
2019/06/02,N248JP,FYWE,FBMN,2.3,C208,1,0,,0,0,0,0
2019/05/23,N4242G,KPAE,KBVS,0.6,8KCAB,3,0,,0,0,0,0
2019/05/23,N4242G,KBVS,KPAE,1,8KCAB,4,0,via Lopez,0,0,0,0
2019/05/19,N4242G,KPAE,KPAE,1,8KCAB,5,0,"slow flight, steep turns, b. rolls",0,0,0,0
2019/05/18,N4242G,KPAE,KPAE,1.2,8KCAB,8,0,"AWO, BVS",0,0,0,0
2019/05/15,N4242G,CYYJ,KPAE,1,8KCAB,2,0,via BLI,0,0,0,0
2019/05/13,N4242G,KPAE,CYYJ,0.8,8KCAB,1,0,,0,0,0,0
2019/04/27,N4242G,KPAE,KBVS,1,8KCAB,2,0,BFR w. Adam Maritz,0,0,0,0
2019/02/21,N4242G,KPAE,KPAE,1.5,8KCAB,3,0,"KBVS,KBFI",0,0,0,0
2019/01/12,N4242G,KBVS,3W5,0.5,8KCAB,1,0,--,0,0,0,0
2019/01/12,N4242G,KPAE,KBVS,0.5,8KCAB,1,0,--,0,0,0,0
2019/01/12,N4242G,3W5,KPAE,0.8,8KCAB,1,0,--,0,0,0,0
2019/01/11,N824MZ,KBFI,KBVS,0.8,AEST,1,0,--,0,0,0,0
2019/01/11,N824MZ,KBVS,KCOE,1.3,AEST,1,1,"COE ILS-06, 400' overcast",0,0.3,0,0
2018/12/31,N4242G,KPAE,KPAE,1,8KCAB,2,0,burger at KBVS,0,0,0,0
2018/12/06,N4242G,CYYJ,KPAE,1.3,8KCAB,2,0,via KBLI,0,0,0,0
2018/12/05,N4242G,KPAE,CYYJ,0.9,8KCAB,1,0,--,0,0,0,0
2018/12/03,N4242G,KPAE,KPAE,1,8KCAB,6,0,KAWO,0,0,0,0
2018/11/14,N248JP,FBMN,FYWE,2.5,C208,1,0,--,0,0,0,0
2018/11/14,N248JP,FLKL,FLHN,2,C208,1,0,--,0,0,0,0
2018/11/14,N248JP,FLHN,FBMN,1.5,C208,1,0,--,0,0,0,0
2018/11/11,N248JP,FLHN,FLKL,1.8,C208,1,0,--,0,0,0,0
2018/11/11,N248JP,FLHP,FLHN,1.5,C208,1,0,--,0,0,0,0
2018/11/04,N248JP,FLHN,FLHP,1.5,C208,1,0,--,0,0,0,0
2018/11/04,N248JP,FBMN,FLHN,1.5,C208,1,0,--,0,0,0,0
2018/11/03,N248JP,FYSO,FYWE,0.7,C208,1,0,--,0,0,0,0
2018/11/03,N248JP,FYWE,FBMN,2.5,C208,1,0,--,0,0,0,0
2018/11/01,N248JP,FYWE,FYSO,0.7,C208,1,0,--,0,0,0,0
2018/10/31,N248JP,FALA,FYWE,3.6,C208,1,0,--,0,0,0,0
2018/10/31,N248JP,FASI,FALA,0.6,C208,1,0,--,0,0,0,0
2018/10/30,ZS-PSD,FASI,FASI,0.5,C206,2,0,--,0,0,0,0
2018/10/29,N248JP,FASI,FASI,0.5,C208,1,0,--,0,0,0,0
2018/10/03,N4242G,CYYJ,KPAE,1.2,8KCAB,2,0,via KBLI,0,0,0,0
2018/10/03,N4242G,KPAE,CYYJ,0.8,8KCAB,1,0,--,0,0,0,0
